,Source,Target,l2d,jsd,Adaptivity,Source Accuracy,serving,finetune,max_voting_jsd_%,max_voting_Adaptivity_%,max_voting_l2d_%,max_voting_Source Accuracy_%
88,oppo_rla,dsads_ll,1.9012224503252513,0.10585707475608955,11.0,0.841791033744812,0.2766927182674408,0.662109375,,,,
124,pamap_w,dsads_ll,1.7290377475872734,0.044447775350239555,7.0,0.809135377407074,0.251953125,0.6536458134651184,,,,
136,pamap_c,dsads_ll,1.4295567927772712,0.04594797415884502,7.0,0.8988580703735352,0.251953125,0.642578125,,,,61.61458333333333
148,pamap_a,dsads_ll,1.3660612804728034,0.033579029283322605,7.0,0.7226753830909729,0.2311197966337204,0.6295573115348816,,,,
13,dsads_ra,dsads_la,0.39683280842801816,0.008943473573100293,4.0,0.7473958134651184,0.681640625,0.732421875,74.0625,,73.69791666666666,
1,dsads_t,dsads_la,0.778643163483422,0.02190546850150166,4.0,0.609375,0.6041666865348816,0.720703125,,,88.80208333333334,
98,oppo_lua,dsads_la,1.7084582326024733,0.08691004557699358,11.0,0.8845770955085754,0.5735676884651184,0.7272135615348816,,96.51041666666667,,
50,dsads_ll,dsads_la,0.7088186057835476,0.01425786729750983,4.0,0.6979166865348816,0.5390625,0.7096354365348816,84.79166666666667,,84.01041666666667,
38,dsads_rl,dsads_la,0.8503861583097125,0.01663478555272986,4.0,0.6432291865348816,0.5182291865348816,0.7063801884651184,83.125,,,
110,oppo_lla,dsads_la,1.5725204181645032,0.08579002015051418,11.0,0.8328357934951782,0.486328125,0.71875,,85.78125,,
86,oppo_rla,dsads_la,1.7453354664922047,0.09364376120474399,11.0,0.841791033744812,0.4049479067325592,0.712890625,,64.6875,,
74,oppo_rua,dsads_la,1.7250699607975053,0.08927198391386718,11.0,0.8975124359130859,0.40234375,0.716796875,,,,74.27083333333333
62,oppo_b,dsads_la,1.6714623084233031,0.0733458342105025,11.0,0.9104477763175964,0.3665364682674408,0.7291666865348816,,,,60.05208333333333
134,pamap_c,dsads_la,1.2339107943121956,0.033504192078300875,7.0,0.8988580703735352,0.3515625,0.7102864384651184,,,,52.135416666666664
122,pamap_w,dsads_la,1.4640210467752153,0.030520585614156482,7.0,0.809135377407074,0.2506510317325592,0.71875,,,,
146,pamap_a,dsads_la,1.2135966390237805,0.027482085757806224,7.0,0.7226753830909729,0.24609375,0.716796875,,,,
